	img	source	img_path	caption	split_set	modality	flag	needsCropping	isCompound	isOvercropped	isMissingSubfigures	isMissingPanels	numberSubpanes	username	observations	isOverfragmented	composition	number_modalities
11	5dfba084f5d15939fd4cadee	tinman	/tinman/pP31412244/P31412244/9_1/003.jpg	no caption extracted for this image	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	False	False	False	1	jtrell2		False		1
12	5dfba084f5d15939fd4cadef	tinman	/tinman/pP31412244/P31412244/9_1/004.jpg	no caption extracted for this image	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	False	False	False	1	jtrell2		False		1
13	5dfba084f5d15939fd4cadf1	tinman	/tinman/pP31412244/P31412244/16_1/001.jpg	no caption extracted for this image	TRAIN	OTHER	False	False	False	False	False	False	1	jtrell2	Table	False		1
14	5dfba084f5d15939fd4cadf3	tinman	/tinman/pP31412244/P31412244/7_1/006.jpg	Figure 3. The MLD of Atg2A Is Responsible for the Interaction with TOM40(A) Schematic illustration of EGFP-Atg2A variants.(B–D, G, and H) CrAtg2A/B HEK293T cells were transfected with the indicated EGFP-Atg2A variants for 24 h and subjected to immunoprecipitation with GFP-Trap beads followed by immunoblotting with the indicated antibodies. EV and WCL represent EGFP-empty vector and whole-cell lysate, respectively.(E) Amino acid sequences of the MLD and its variants used in the study are shown. Red underlined characters indicate the point mutations introduced into thesequences.(F) Helical wheels of N-terminal (left) and C-terminal (right) a helices of MLD were plotted using HeliQuest. Red asterisks indicate amino acid residues substitutedto alanine.	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	False	False	False	1	jtrell2		False		1
15	5dfba084f5d15939fd4cadf4	tinman	/tinman/pP31412244/P31412244/7_1/001.jpg	Figure 3. The MLD of Atg2A Is Responsible for the Interaction with TOM40(A) Schematic illustration of EGFP-Atg2A variants.(B–D, G, and H) CrAtg2A/B HEK293T cells were transfected with the indicated EGFP-Atg2A variants for 24 h and subjected to immunoprecipitation with GFP-Trap beads followed by immunoblotting with the indicated antibodies. EV and WCL represent EGFP-empty vector and whole-cell lysate, respectively.(E) Amino acid sequences of the MLD and its variants used in the study are shown. Red underlined characters indicate the point mutations introduced into thesequences.(F) Helical wheels of N-terminal (left) and C-terminal (right) a helices of MLD were plotted using HeliQuest. Red asterisks indicate amino acid residues substitutedto alanine.	TRAIN	MOLECULAR STRUCTURE,PROTEIN	False	False	False	False	False	False	1	jtrell2		False		1
16	5dfba084f5d15939fd4cadf5	tinman	/tinman/pP31412244/P31412244/7_1/008.jpg	Figure 3. The MLD of Atg2A Is Responsible for the Interaction with TOM40(A) Schematic illustration of EGFP-Atg2A variants.(B–D, G, and H) CrAtg2A/B HEK293T cells were transfected with the indicated EGFP-Atg2A variants for 24 h and subjected to immunoprecipitation with GFP-Trap beads followed by immunoblotting with the indicated antibodies. EV and WCL represent EGFP-empty vector and whole-cell lysate, respectively.(E) Amino acid sequences of the MLD and its variants used in the study are shown. Red underlined characters indicate the point mutations introduced into thesequences.(F) Helical wheels of N-terminal (left) and C-terminal (right) a helices of MLD were plotted using HeliQuest. Red asterisks indicate amino acid residues substitutedto alanine.	TRAIN	GRAPHICS,OTHER	False	False	False	False	False	False	1	jtrell2	It has protein sequence, but in hydropathicity wheel	False		1
17	5dfba084f5d15939fd4cadf6	tinman	/tinman/pP31412244/P31412244/7_1/009.jpg	Figure 3. The MLD of Atg2A Is Responsible for the Interaction with TOM40(A) Schematic illustration of EGFP-Atg2A variants.(B–D, G, and H) CrAtg2A/B HEK293T cells were transfected with the indicated EGFP-Atg2A variants for 24 h and subjected to immunoprecipitation with GFP-Trap beads followed by immunoblotting with the indicated antibodies. EV and WCL represent EGFP-empty vector and whole-cell lysate, respectively.(E) Amino acid sequences of the MLD and its variants used in the study are shown. Red underlined characters indicate the point mutations introduced into thesequences.(F) Helical wheels of N-terminal (left) and C-terminal (right) a helices of MLD were plotted using HeliQuest. Red asterisks indicate amino acid residues substitutedto alanine.	TRAIN	GRAPHICS,OTHER	False	False	False	False	False	False	1	jtrell2	Has protein sequence in hydropaticity wheel	False		1
18	5dfba084f5d15939fd4cadf7	tinman	/tinman/pP31412244/P31412244/7_1/007.jpg	Figure 3. The MLD of Atg2A Is Responsible for the Interaction with TOM40(A) Schematic illustration of EGFP-Atg2A variants.(B–D, G, and H) CrAtg2A/B HEK293T cells were transfected with the indicated EGFP-Atg2A variants for 24 h and subjected to immunoprecipitation with GFP-Trap beads followed by immunoblotting with the indicated antibodies. EV and WCL represent EGFP-empty vector and whole-cell lysate, respectively.(E) Amino acid sequences of the MLD and its variants used in the study are shown. Red underlined characters indicate the point mutations introduced into thesequences.(F) Helical wheels of N-terminal (left) and C-terminal (right) a helices of MLD were plotted using HeliQuest. Red asterisks indicate amino acid residues substitutedto alanine.	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	False	False	False	1	jtrell2		False		1
19	5dfba084f5d15939fd4cadf8	tinman	/tinman/pP31412244/P31412244/7_1/004.jpg	Figure 3. The MLD of Atg2A Is Responsible for the Interaction with TOM40(A) Schematic illustration of EGFP-Atg2A variants.(B–D, G, and H) CrAtg2A/B HEK293T cells were transfected with the indicated EGFP-Atg2A variants for 24 h and subjected to immunoprecipitation with GFP-Trap beads followed by immunoblotting with the indicated antibodies. EV and WCL represent EGFP-empty vector and whole-cell lysate, respectively.(E) Amino acid sequences of the MLD and its variants used in the study are shown. Red underlined characters indicate the point mutations introduced into thesequences.(F) Helical wheels of N-terminal (left) and C-terminal (right) a helices of MLD were plotted using HeliQuest. Red asterisks indicate amino acid residues substitutedto alanine.	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	False	False	False	1	jtrell2		False		1
20	5dfba084f5d15939fd4cadf9	tinman	/tinman/pP31412244/P31412244/7_1/003.jpg	Figure 3. The MLD of Atg2A Is Responsible for the Interaction with TOM40(A) Schematic illustration of EGFP-Atg2A variants.(B–D, G, and H) CrAtg2A/B HEK293T cells were transfected with the indicated EGFP-Atg2A variants for 24 h and subjected to immunoprecipitation with GFP-Trap beads followed by immunoblotting with the indicated antibodies. EV and WCL represent EGFP-empty vector and whole-cell lysate, respectively.(E) Amino acid sequences of the MLD and its variants used in the study are shown. Red underlined characters indicate the point mutations introduced into thesequences.(F) Helical wheels of N-terminal (left) and C-terminal (right) a helices of MLD were plotted using HeliQuest. Red asterisks indicate amino acid residues substitutedto alanine.	TRAIN	GRAPHICS,OTHER	False	False	False	True	False	False	1	jtrell2		False		1
21	5dfba084f5d15939fd4cadfa	tinman	/tinman/pP31412244/P31412244/7_1/002.jpg	Figure 3. The MLD of Atg2A Is Responsible for the Interaction with TOM40(A) Schematic illustration of EGFP-Atg2A variants.(B–D, G, and H) CrAtg2A/B HEK293T cells were transfected with the indicated EGFP-Atg2A variants for 24 h and subjected to immunoprecipitation with GFP-Trap beads followed by immunoblotting with the indicated antibodies. EV and WCL represent EGFP-empty vector and whole-cell lysate, respectively.(E) Amino acid sequences of the MLD and its variants used in the study are shown. Red underlined characters indicate the point mutations introduced into thesequences.(F) Helical wheels of N-terminal (left) and C-terminal (right) a helices of MLD were plotted using HeliQuest. Red asterisks indicate amino acid residues substitutedto alanine.	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	False	False	False	1	jtrell2		False		1
22	5dfba084f5d15939fd4cadfb	tinman	/tinman/pP31412244/P31412244/7_1/005.jpg	Figure 3. The MLD of Atg2A Is Responsible for the Interaction with TOM40(A) Schematic illustration of EGFP-Atg2A variants.(B–D, G, and H) CrAtg2A/B HEK293T cells were transfected with the indicated EGFP-Atg2A variants for 24 h and subjected to immunoprecipitation with GFP-Trap beads followed by immunoblotting with the indicated antibodies. EV and WCL represent EGFP-empty vector and whole-cell lysate, respectively.(E) Amino acid sequences of the MLD and its variants used in the study are shown. Red underlined characters indicate the point mutations introduced into thesequences.(F) Helical wheels of N-terminal (left) and C-terminal (right) a helices of MLD were plotted using HeliQuest. Red asterisks indicate amino acid residues substitutedto alanine.	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	False	False	False	1	jtrell2		False		1
23	5dfba084f5d15939fd4cadfd	tinman	/tinman/pP31412244/P31412244/17_1/001.jpg	no caption extracted for this image	TRAIN	OTHER	False	False	False	False	False	False	1	jtrell2	Table	False		1
24	5dfba085f5d15939fd4cadff	tinman	/tinman/pP31412244/P31412244/11_1/012.jpg	Figure 5. TOM70 Mediates the Atg2A-TOM40 Interaction and Atg2A-Dependent Phagophore Growth(A) TOM components and their corresponding peptide numbers identiﬁed in the proteomic analysis using EGFP-MLD are listed.(B) HEK293T cells were transduced with lentiviruses encoding Cas9 and sgRNAs targeting TOM70 (CrTOM70) and subjected to immunoblotting with theindicated antibodies.(C) WT or CrTOM70 HEK293T cells were transfected with the EGFP (EV) or EGFP-Atg2A (Atg2A) for 24 h and subjected to immunoprecipitation with GFP-Trapbeads followed by immunoblotting with the indicated antibodies.(D–F) The indicated CrAtg2A/B U-2 OS stable transductants were treated with DMSO or 150 nM rapamycin in the presence or absence of 100 nM Baﬁlomycin A1for 8 h and subjected to LC3 immunostaining and confocal microscopy (D) or immunoblotting with the indicated antibodies (F). In (E), the diameters of LC3 foci in(D) were randomly selected and quantiﬁed using the Velocity software (n = 60).Statistical signiﬁcance was determined by one-way ANOVA followed by Dunn’s multiple comparisons test. All values are mean ± SD; n.s., not signiﬁcant;****p % 0.0001.	TRAIN	MICROSCOPY,FLUORESCENCE,OTHER	False	False	False	False	False	False	1	jtrell2	Confocal microscopy	False		1
25	5dfba085f5d15939fd4cae00	tinman	/tinman/pP31412244/P31412244/11_1/015.jpg	Figure 5. TOM70 Mediates the Atg2A-TOM40 Interaction and Atg2A-Dependent Phagophore Growth(A) TOM components and their corresponding peptide numbers identiﬁed in the proteomic analysis using EGFP-MLD are listed.(B) HEK293T cells were transduced with lentiviruses encoding Cas9 and sgRNAs targeting TOM70 (CrTOM70) and subjected to immunoblotting with theindicated antibodies.(C) WT or CrTOM70 HEK293T cells were transfected with the EGFP (EV) or EGFP-Atg2A (Atg2A) for 24 h and subjected to immunoprecipitation with GFP-Trapbeads followed by immunoblotting with the indicated antibodies.(D–F) The indicated CrAtg2A/B U-2 OS stable transductants were treated with DMSO or 150 nM rapamycin in the presence or absence of 100 nM Baﬁlomycin A1for 8 h and subjected to LC3 immunostaining and confocal microscopy (D) or immunoblotting with the indicated antibodies (F). In (E), the diameters of LC3 foci in(D) were randomly selected and quantiﬁed using the Velocity software (n = 60).Statistical signiﬁcance was determined by one-way ANOVA followed by Dunn’s multiple comparisons test. All values are mean ± SD; n.s., not signiﬁcant;****p % 0.0001.	TRAIN	MICROSCOPY,FLUORESCENCE,OTHER	False	False	False	False	False	False	1	jtrell2	Confocal microscopy	False		1
26	5dfba085f5d15939fd4cae01	tinman	/tinman/pP31412244/P31412244/11_1/020.jpg	Figure 5. TOM70 Mediates the Atg2A-TOM40 Interaction and Atg2A-Dependent Phagophore Growth(A) TOM components and their corresponding peptide numbers identiﬁed in the proteomic analysis using EGFP-MLD are listed.(B) HEK293T cells were transduced with lentiviruses encoding Cas9 and sgRNAs targeting TOM70 (CrTOM70) and subjected to immunoblotting with theindicated antibodies.(C) WT or CrTOM70 HEK293T cells were transfected with the EGFP (EV) or EGFP-Atg2A (Atg2A) for 24 h and subjected to immunoprecipitation with GFP-Trapbeads followed by immunoblotting with the indicated antibodies.(D–F) The indicated CrAtg2A/B U-2 OS stable transductants were treated with DMSO or 150 nM rapamycin in the presence or absence of 100 nM Baﬁlomycin A1for 8 h and subjected to LC3 immunostaining and confocal microscopy (D) or immunoblotting with the indicated antibodies (F). In (E), the diameters of LC3 foci in(D) were randomly selected and quantiﬁed using the Velocity software (n = 60).Statistical signiﬁcance was determined by one-way ANOVA followed by Dunn’s multiple comparisons test. All values are mean ± SD; n.s., not signiﬁcant;****p % 0.0001.	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	True	False	False	1	jtrell2		False		1
27	5dfba085f5d15939fd4cae02	tinman	/tinman/pP31412244/P31412244/11_1/004.jpg	Figure 5. TOM70 Mediates the Atg2A-TOM40 Interaction and Atg2A-Dependent Phagophore Growth(A) TOM components and their corresponding peptide numbers identiﬁed in the proteomic analysis using EGFP-MLD are listed.(B) HEK293T cells were transduced with lentiviruses encoding Cas9 and sgRNAs targeting TOM70 (CrTOM70) and subjected to immunoblotting with theindicated antibodies.(C) WT or CrTOM70 HEK293T cells were transfected with the EGFP (EV) or EGFP-Atg2A (Atg2A) for 24 h and subjected to immunoprecipitation with GFP-Trapbeads followed by immunoblotting with the indicated antibodies.(D–F) The indicated CrAtg2A/B U-2 OS stable transductants were treated with DMSO or 150 nM rapamycin in the presence or absence of 100 nM Baﬁlomycin A1for 8 h and subjected to LC3 immunostaining and confocal microscopy (D) or immunoblotting with the indicated antibodies (F). In (E), the diameters of LC3 foci in(D) were randomly selected and quantiﬁed using the Velocity software (n = 60).Statistical signiﬁcance was determined by one-way ANOVA followed by Dunn’s multiple comparisons test. All values are mean ± SD; n.s., not signiﬁcant;****p % 0.0001.	TRAIN	MICROSCOPY,FLUORESCENCE,OTHER	False	False	False	False	False	False	1	jtrell2	Confocal microscopy	False		1
28	5dfba085f5d15939fd4cae03	tinman	/tinman/pP31412244/P31412244/11_1/003.jpg	Figure 5. TOM70 Mediates the Atg2A-TOM40 Interaction and Atg2A-Dependent Phagophore Growth(A) TOM components and their corresponding peptide numbers identiﬁed in the proteomic analysis using EGFP-MLD are listed.(B) HEK293T cells were transduced with lentiviruses encoding Cas9 and sgRNAs targeting TOM70 (CrTOM70) and subjected to immunoblotting with theindicated antibodies.(C) WT or CrTOM70 HEK293T cells were transfected with the EGFP (EV) or EGFP-Atg2A (Atg2A) for 24 h and subjected to immunoprecipitation with GFP-Trapbeads followed by immunoblotting with the indicated antibodies.(D–F) The indicated CrAtg2A/B U-2 OS stable transductants were treated with DMSO or 150 nM rapamycin in the presence or absence of 100 nM Baﬁlomycin A1for 8 h and subjected to LC3 immunostaining and confocal microscopy (D) or immunoblotting with the indicated antibodies (F). In (E), the diameters of LC3 foci in(D) were randomly selected and quantiﬁed using the Velocity software (n = 60).Statistical signiﬁcance was determined by one-way ANOVA followed by Dunn’s multiple comparisons test. All values are mean ± SD; n.s., not signiﬁcant;****p % 0.0001.	TRAIN	MICROSCOPY,FLUORESCENCE,OTHER	False	False	False	False	False	False	1	jtrell2	Confocal microscopy	False		1
29	5dfba085f5d15939fd4cae04	tinman	/tinman/pP31412244/P31412244/11_1/021.jpg	Figure 5. TOM70 Mediates the Atg2A-TOM40 Interaction and Atg2A-Dependent Phagophore Growth(A) TOM components and their corresponding peptide numbers identiﬁed in the proteomic analysis using EGFP-MLD are listed.(B) HEK293T cells were transduced with lentiviruses encoding Cas9 and sgRNAs targeting TOM70 (CrTOM70) and subjected to immunoblotting with theindicated antibodies.(C) WT or CrTOM70 HEK293T cells were transfected with the EGFP (EV) or EGFP-Atg2A (Atg2A) for 24 h and subjected to immunoprecipitation with GFP-Trapbeads followed by immunoblotting with the indicated antibodies.(D–F) The indicated CrAtg2A/B U-2 OS stable transductants were treated with DMSO or 150 nM rapamycin in the presence or absence of 100 nM Baﬁlomycin A1for 8 h and subjected to LC3 immunostaining and confocal microscopy (D) or immunoblotting with the indicated antibodies (F). In (E), the diameters of LC3 foci in(D) were randomly selected and quantiﬁed using the Velocity software (n = 60).Statistical signiﬁcance was determined by one-way ANOVA followed by Dunn’s multiple comparisons test. All values are mean ± SD; n.s., not signiﬁcant;****p % 0.0001.	TRAIN	GRAPHICS,OTHER	False	False	False	False	False	False	1	jtrell2	not sure if you would consider this scatterplot	False		1
30	5dfba085f5d15939fd4cae05	tinman	/tinman/pP31412244/P31412244/11_1/014.jpg	Figure 5. TOM70 Mediates the Atg2A-TOM40 Interaction and Atg2A-Dependent Phagophore Growth(A) TOM components and their corresponding peptide numbers identiﬁed in the proteomic analysis using EGFP-MLD are listed.(B) HEK293T cells were transduced with lentiviruses encoding Cas9 and sgRNAs targeting TOM70 (CrTOM70) and subjected to immunoblotting with theindicated antibodies.(C) WT or CrTOM70 HEK293T cells were transfected with the EGFP (EV) or EGFP-Atg2A (Atg2A) for 24 h and subjected to immunoprecipitation with GFP-Trapbeads followed by immunoblotting with the indicated antibodies.(D–F) The indicated CrAtg2A/B U-2 OS stable transductants were treated with DMSO or 150 nM rapamycin in the presence or absence of 100 nM Baﬁlomycin A1for 8 h and subjected to LC3 immunostaining and confocal microscopy (D) or immunoblotting with the indicated antibodies (F). In (E), the diameters of LC3 foci in(D) were randomly selected and quantiﬁed using the Velocity software (n = 60).Statistical signiﬁcance was determined by one-way ANOVA followed by Dunn’s multiple comparisons test. All values are mean ± SD; n.s., not signiﬁcant;****p % 0.0001.	TRAIN	EXPERIMENTAL,GEL,WESTERN BLOT	False	False	False	False	False	False	1	jtrell2		False		1
31	5dfba085f5d15939fd4cae06	tinman	/tinman/pP31412244/P31412244/11_1/013.jpg	Figure 5. TOM70 Mediates the Atg2A-TOM40 Interaction and Atg2A-Dependent Phagophore Growth(A) TOM components and their corresponding peptide numbers identiﬁed in the proteomic analysis using EGFP-MLD are listed.(B) HEK293T cells were transduced with lentiviruses encoding Cas9 and sgRNAs targeting TOM70 (CrTOM70) and subjected to immunoblotting with theindicated antibodies.(C) WT or CrTOM70 HEK293T cells were transfected with the EGFP (EV) or EGFP-Atg2A (Atg2A) for 24 h and subjected to immunoprecipitation with GFP-Trapbeads followed by immunoblotting with the indicated antibodies.(D–F) The indicated CrAtg2A/B U-2 OS stable transductants were treated with DMSO or 150 nM rapamycin in the presence or absence of 100 nM Baﬁlomycin A1for 8 h and subjected to LC3 immunostaining and confocal microscopy (D) or immunoblotting with the indicated antibodies (F). In (E), the diameters of LC3 foci in(D) were randomly selected and quantiﬁed using the Velocity software (n = 60).Statistical signiﬁcance was determined by one-way ANOVA followed by Dunn’s multiple comparisons test. All values are mean ± SD; n.s., not signiﬁcant;****p % 0.0001.	TRAIN	MICROSCOPY,FLUORESCENCE,OTHER	False	False	False	False	False	False	1	jtrell2	Confocal microscopy	False		1
32	5dfba085f5d15939fd4cae07	tinman	/tinman/pP31412244/P31412244/11_1/002.jpg	Figure 5. TOM70 Mediates the Atg2A-TOM40 Interaction and Atg2A-Dependent Phagophore Growth(A) TOM components and their corresponding peptide numbers identiﬁed in the proteomic analysis using EGFP-MLD are listed.(B) HEK293T cells were transduced with lentiviruses encoding Cas9 and sgRNAs targeting TOM70 (CrTOM70) and subjected to immunoblotting with theindicated antibodies.(C) WT or CrTOM70 HEK293T cells were transfected with the EGFP (EV) or EGFP-Atg2A (Atg2A) for 24 h and subjected to immunoprecipitation with GFP-Trapbeads followed by immunoblotting with the indicated antibodies.(D–F) The indicated CrAtg2A/B U-2 OS stable transductants were treated with DMSO or 150 nM rapamycin in the presence or absence of 100 nM Baﬁlomycin A1for 8 h and subjected to LC3 immunostaining and confocal microscopy (D) or immunoblotting with the indicated antibodies (F). In (E), the diameters of LC3 foci in(D) were randomly selected and quantiﬁed using the Velocity software (n = 60).Statistical signiﬁcance was determined by one-way ANOVA followed by Dunn’s multiple comparisons test. All values are mean ± SD; n.s., not signiﬁcant;****p % 0.0001.	TRAIN	MICROSCOPY,FLUORESCENCE,OTHER	False	False	False	False	False	False	1	jtrell2	Confocal microscopy	False		1
