img,img_path,modality,higher_modality
PMC3365285___fgene-03-00098-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3365285___fgene-03-00098-g002.jpg,area,GRAPHICS
PMC3381693___1471-2458-12-S1-S5-1.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3381693___1471-2458-12-S1-S5-1.jpg,area,GRAPHICS
PMC3381693___1471-2458-12-S1-S5-3.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3381693___1471-2458-12-S1-S5-3.jpg,area,GRAPHICS
PMC3488553___1755-8166-5-33-2.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3488553___1755-8166-5-33-2.jpg,area,GRAPHICS
PMC3509475___ijerph-09-03685-g010.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3509475___ijerph-09-03685-g010.jpg,area,GRAPHICS
PMC3509475___ijerph-09-03685-g011.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3509475___ijerph-09-03685-g011.jpg,area,GRAPHICS
PMC3509475___ijerph-09-03685-g015.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3509475___ijerph-09-03685-g015.jpg,area,GRAPHICS
PMC3509475___ijerph-09-03685-g016.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3509475___ijerph-09-03685-g016.jpg,area,GRAPHICS
PMC3509475___ijerph-09-03685-g017.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3509475___ijerph-09-03685-g017.jpg,area,GRAPHICS
PMC3509475___ijerph-09-03685-g018.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3509475___ijerph-09-03685-g018.jpg,area,GRAPHICS
PMC3520706___1471-2458-12-1007-4.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3520706___1471-2458-12-1007-4.jpg,area,GRAPHICS
PMC3536658___pgen.1003176.g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3536658___pgen.1003176.g004.jpg,area,GRAPHICS
PMC3537516___1471-2458-12-1046-4.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3537516___1471-2458-12-1046-4.jpg,area,GRAPHICS
PMC3597495___pgen.1003365.g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3597495___pgen.1003365.g004.jpg,area,GRAPHICS
PMC3606378___1471-2458-13-146-1.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3606378___1471-2458-13-146-1.jpg,area,GRAPHICS
PMC3967937___pgen.1004222.g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC3967937___pgen.1004222.g002.jpg,area,GRAPHICS
PMC4118311___1297-9686-46-42-5.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4118311___1297-9686-46-42-5.jpg,area,GRAPHICS
PMC4148646___fgene-05-00284-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4148646___fgene-05-00284-g001.jpg,area,GRAPHICS
PMC4210510___12889_2013_7175_Fig2_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4210510___12889_2013_7175_Fig2_HTML.jpg,area,GRAPHICS
PMC4222645___pgen.1004745.g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4222645___pgen.1004745.g004.jpg,area,GRAPHICS
PMC4266090___fgene-05-00430-g0001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4266090___fgene-05-00430-g0001.jpg,area,GRAPHICS
PMC4306862___ijerph-12-00282-g003a.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4306862___ijerph-12-00282-g003a.jpg,area,GRAPHICS
PMC4306871___ijerph-12-00428-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4306871___ijerph-12-00428-g002.jpg,area,GRAPHICS
PMC4310874___je-25-133-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4310874___je-25-133-g002.jpg,area,GRAPHICS
PMC4369645___fgene-06-00114-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4369645___fgene-06-00114-g001.jpg,area,GRAPHICS
PMC4450050___pgen.1004926.g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450050___pgen.1004926.g003.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i002.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i003.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i004.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i006.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i007.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i008.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i010.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i010.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i011.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i011.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i012.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i012.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i014.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i014.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i015.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i015.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i016.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i016.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i018.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i018.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i019.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i019.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i020.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i020.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i022.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i022.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i023.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i023.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab10.i024.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab10.i024.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab2.i003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab2.i003.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab2.i006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab2.i006.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab9.i002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab9.i002.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab9.i003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab9.i003.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab9.i004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab9.i004.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab9.i006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab9.i006.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab9.i007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab9.i007.jpg,area,GRAPHICS
PMC4450341___CMMM2015-607407.tab9.i008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4450341___CMMM2015-607407.tab9.i008.jpg,area,GRAPHICS
PMC4458284___CMMM2015-638568.001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4458284___CMMM2015-638568.001.jpg,area,GRAPHICS
PMC4515694___ijerph-12-07839-g005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4515694___ijerph-12-07839-g005.jpg,area,GRAPHICS
PMC4532250___12889_2014_7561_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4532250___12889_2014_7561_Fig3_HTML.jpg,area,GRAPHICS
PMC4564792___CMMM2015-810796.005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4564792___CMMM2015-810796.005.jpg,area,GRAPHICS
PMC4602096___fpubh-03-00233-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4602096___fpubh-03-00233-g001.jpg,area,GRAPHICS
PMC4602096___fpubh-03-00233-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4602096___fpubh-03-00233-g002.jpg,area,GRAPHICS
PMC4602096___fpubh-03-00233-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4602096___fpubh-03-00233-g003.jpg,area,GRAPHICS
PMC4602096___fpubh-03-00233-g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4602096___fpubh-03-00233-g004.jpg,area,GRAPHICS
PMC4621351___CMMM2015-680769.001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4621351___CMMM2015-680769.001.jpg,area,GRAPHICS
PMC4730446___ijerph-13-00055-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4730446___ijerph-13-00055-g003.jpg,area,GRAPHICS
PMC4847091___ijerph-13-00429-g005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4847091___ijerph-13-00429-g005.jpg,area,GRAPHICS
PMC4957311___12881_2016_307_Fig4_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4957311___12881_2016_307_Fig4_HTML.jpg,area,GRAPHICS
PMC4980790___12711_2016_232_Fig5_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4980790___12711_2016_232_Fig5_HTML.jpg,area,GRAPHICS
PMC4997432___ijerph-13-00746-g008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4997432___ijerph-13-00746-g008.jpg,area,GRAPHICS
PMC4997432___ijerph-13-00746-g013.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC4997432___ijerph-13-00746-g013.jpg,area,GRAPHICS
PMC5025833___12889_2016_3405_Fig4_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5025833___12889_2016_3405_Fig4_HTML.jpg,area,GRAPHICS
PMC5304340___fpubh-05-00016-g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5304340___fpubh-05-00016-g004.jpg,area,GRAPHICS
PMC5304768___nanomaterials-05-01782-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5304768___nanomaterials-05-01782-g001.jpg,area,GRAPHICS
PMC5344589___materials-10-00085-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5344589___materials-10-00085-g003.jpg,area,GRAPHICS
PMC5344631___materials-10-00075-g006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5344631___materials-10-00075-g006.jpg,area,GRAPHICS
PMC5354252___pgen.1006616.g009.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5354252___pgen.1006616.g009.jpg,area,GRAPHICS
PMC5354252___pgen.1006616.g010.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5354252___pgen.1006616.g010.jpg,area,GRAPHICS
PMC5445808___materials-03-05083-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5445808___materials-03-05083-g003.jpg,area,GRAPHICS
PMC5445808___materials-03-05083-g010.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5445808___materials-03-05083-g010.jpg,area,GRAPHICS
PMC5451948___ijerph-14-00497-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5451948___ijerph-14-00497-g003.jpg,area,GRAPHICS
PMC5452317___materials-06-01255-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5452317___materials-06-01255-g003.jpg,area,GRAPHICS
PMC5453343___materials-07-03147f3.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5453343___materials-07-03147f3.jpg,area,GRAPHICS
PMC5453378___materials-07-02945f2.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5453378___materials-07-02945f2.jpg,area,GRAPHICS
PMC5455455___materials-08-01213-g007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5455455___materials-08-01213-g007.jpg,area,GRAPHICS
PMC5455483___materials-08-04679-g005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5455483___materials-08-04679-g005.jpg,area,GRAPHICS
PMC5455635___materials-08-04544-g006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5455635___materials-08-04544-g006.jpg,area,GRAPHICS
PMC5455936___materials-07-04321-g013.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5455936___materials-07-04321-g013.jpg,area,GRAPHICS
PMC5456877___materials-09-00605-g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5456877___materials-09-00605-g004.jpg,area,GRAPHICS
PMC5456900___materials-09-00531-g006.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5456900___materials-09-00531-g006.jpg,area,GRAPHICS
PMC5456900___materials-09-00531-g008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5456900___materials-09-00531-g008.jpg,area,GRAPHICS
PMC5457007___materials-09-01025-g012.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5457007___materials-09-01025-g012.jpg,area,GRAPHICS
PMC5458884___materials-08-05381-g005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5458884___materials-08-05381-g005.jpg,area,GRAPHICS
PMC5458884___materials-08-05381-g007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5458884___materials-08-05381-g007.jpg,area,GRAPHICS
PMC5458884___materials-08-05381-g008.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5458884___materials-08-05381-g008.jpg,area,GRAPHICS
PMC5458885___materials-08-05432-g005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5458885___materials-08-05432-g005.jpg,area,GRAPHICS
PMC5512521___materials-09-00699-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5512521___materials-09-00699-g003.jpg,area,GRAPHICS
PMC5512526___materials-09-00704-g004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5512526___materials-09-00704-g004.jpg,area,GRAPHICS
PMC5513473___materials-03-01390-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5513473___materials-03-01390-g001.jpg,area,GRAPHICS
PMC5521235___materials-06-03079-g005.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5521235___materials-06-03079-g005.jpg,area,GRAPHICS
PMC5521750___materials-03-03740-g010.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5521750___materials-03-03740-g010.jpg,area,GRAPHICS
PMC5521761___materials-03-03675-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5521761___materials-03-03675-g001.jpg,area,GRAPHICS
PMC5535222___nanomaterials-07-00156-g006b.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5535222___nanomaterials-07-00156-g006b.jpg,area,GRAPHICS
PMC5551179___ijerph-14-00741-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5551179___ijerph-14-00741-g001.jpg,area,GRAPHICS
PMC5551862___materials-10-00819-g003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5551862___materials-10-00819-g003.jpg,area,GRAPHICS
PMC5578233___materials-10-00867-g007.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5578233___materials-10-00867-g007.jpg,area,GRAPHICS
PMC5580230___12863_2017_547_Fig3_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5580230___12863_2017_547_Fig3_HTML.jpg,area,GRAPHICS
PMC5669422___pgen.1007028.g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5669422___pgen.1007028.g001.jpg,area,GRAPHICS
PMC5678812___12889_2017_4881_Fig4_HTML.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5678812___12889_2017_4881_Fig4_HTML.jpg,area,GRAPHICS
PMC5706244___materials-10-01297-g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/area/PMC5706244___materials-10-01297-g002.jpg,area,GRAPHICS
PMC1087839___1471-2156-6-19-2.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC1087839___1471-2156-6-19-2.jpg,heatmap,GRAPHICS
PMC1131899___1471-2156-6-18-1.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC1131899___1471-2156-6-18-1.jpg,heatmap,GRAPHICS
PMC2672313___ijerph-05-00181f4a.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC2672313___ijerph-05-00181f4a.jpg,heatmap,GRAPHICS
PMC2673040___pgen.1000479.g002.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC2673040___pgen.1000479.g002.jpg,heatmap,GRAPHICS
PMC2898026___ijerph-07-01937f7.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC2898026___ijerph-07-01937f7.jpg,heatmap,GRAPHICS
PMC3001734___1471-2458-10-726-2.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC3001734___1471-2458-10-726-2.jpg,heatmap,GRAPHICS
PMC3155486___1471-2156-12-63-2.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC3155486___1471-2156-12-63-2.jpg,heatmap,GRAPHICS
PMC3260479___fgene-03-00002-g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC3260479___fgene-03-00002-g001.jpg,heatmap,GRAPHICS
PMC3272794___CMMM2012-204926.009.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC3272794___CMMM2012-204926.009.jpg,heatmap,GRAPHICS
PMC3369949___pgen.1002740.g001.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC3369949___pgen.1002740.g001.jpg,heatmap,GRAPHICS
PMC3371690___CMMM2012-147252.003.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC3371690___CMMM2012-147252.003.jpg,heatmap,GRAPHICS
PMC3371690___CMMM2012-147252.004.jpg,chart_icpr2020/ICPR2020_CHARTINFO_UB_PMC_TRAIN_v1.21/images/heatmap/PMC3371690___CMMM2012-147252.004.jpg,heatmap,GRAPHICS
