"1471-2164-11-520-3	Insertion dates of each MITE family in the silkworm genome . The level of nucleotide substitutions (k) between each MITE element and the family consensus sequence was estimated using Kimura 2-parameter distance. Then", the insertion time was calculated by the method in [ 13 ].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2164-11-S4-S22-1	Annotation of the glycans on the template  env  gp120 crystal structure PB4C (left-hand)", and variations in structural locations of glycans (right-hand).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2164-12-228-4	The changes in Z scores for the overrepresented motifs under assumption of perturbed regulator modes . The changes in the Z scores are shown in plots with closed triangles along the proportions with which the TF modes of the connections were randomly swapped between positive and negative. This perturbation procedure was repeated ten times with each proportion of 1%",5%,10%, 15% and 20% for (a) DAR-FFCs, (b) coherent FFCs and (c) coherent type-1 FFCs. The results show that the Z scores remain at statistically significant levels with mode perturbation of 1% through 20%. The closed circle on each y-axis represents the Z score of the main results ( i.e . without perturbation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2164-8-156-2	Genome wide prediction of Pho regulons in the 19 sequenced cyanobacterial genomes. Green lines represent the probability ( p ( S I U   MathType@MTEF@5@5@+=feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY=wiFfYdH8Gipec8Eeeu0xXdbba9frFj0=OqFfea0dXdd9vqai=hGuQ8kuc9pgc9s8qqaq=dirpe0xb9q8qiLsFr0=vr0=vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacqWGtbWudaWgaaWcbaGaemysaK0aaSbaaWqaaiabdwfavbqabaaaleqaaaaa@308D@   >   s )) that putative three tandem Pho boxes found in the promoter region  I U ( g 1 ", ... , g n )   MathType@MTEF@5@5@+=feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY=wiFfYdH8Gipec8Eeeu0xXdbba9frFj0=OqFfea0dXdd9vqai=hGuQ8kuc9pgc9s8qqaq=dirpe0xb9q8qiLsFr0=vr0=vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacqWGjbqsdaWgaaWcbaGaemyvauLaeiikaGIaem4zaC2aaSbaaWqaaiabigdaXaqabaWccqGGSaalcqGGUaGlcqGGUaGlcqGGUaGlcqGGSaalcqWGNbWzdaWgaaadbaGaemOBa4gabeaaliabcMcaPaqabaaaaa@3AB7@  of an operon  U ( g 1 ,...,  g n ) have a score greater than  s  ( s  is a positive number); blue lines represent the probability ( p ( S C U   MathType@MTEF@5@5@+=feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY=wiFfYdH8Gipec8Eeeu0xXdbba9frFj0=OqFfea0dXdd9vqai=hGuQ8kuc9pgc9s8qqaq=dirpe0xb9q8qiLsFr0=vr0=vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacqWGtbWudaWgaaWcbaGaem4qam0aaSbaaWqaaiabdwfavbqabaaaleqaaaaa@3081@   >   s )) that putative three tandem Pho boxes found in a randomly chosen coding region  C U ( g 1 , ... , g n )   MathType@MTEF@5@5@+=feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY=wiFfYdH8Gipec8Eeeu0xXdbba9frFj0=OqFfea0dXdd9vqai=hGuQ8kuc9pgc9s8qqaq=dirpe0xb9q8qiLsFr0=vr0=vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacqWGdbWqdaWgaaWcbaGaemyvauLaeiikaGIaem4zaC2aaSbaaWqaaiabigdaXaqabaWccqGGSaalcqGGUaGlcqGGUaGlcqGGUaGlcqGGSaalcqWGNbWzdaWgaaadbaGaemOBa4gabeaaliabcMcaPaqabaaaaa@3AAB@  with the same length as  I U ( g 1 , ... , g n )   MathType@MTEF@5@5@+=feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY=wiFfYdH8Gipec8Eeeu0xXdbba9frFj0=OqFfea0dXdd9vqai=hGuQ8kuc9pgc9s8qqaq=dirpe0xb9q8qiLsFr0=vr0=vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacqWGjbqsdaWgaaWcbaGaemyvauLaeiikaGIaem4zaC2aaSbaaWqaaiabigdaXaqabaWccqGGSaalcqGGUaGlcqGGUaGlcqGGUaGlcqGGSaalcqWGNbWzdaWgaaadbaGaemOBa4gabeaaliabcMcaPaqabaaaaa@3AB7@  have a score greater than  s  ( s  is a positive number); Red lines represent the log-odds ratio function defined as  LOR ( s ) = ln( p ( S I U   MathType@MTEF@5@5@+=feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY=wiFfYdH8Gipec8Eeeu0xXdbba9frFj0=OqFfea0dXdd9vqai=hGuQ8kuc9pgc9s8qqaq=dirpe0xb9q8qiLsFr0=vr0=vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacqWGtbWudaWgaaWcbaGaemysaK0aaSbaaWqaaiabdwfavbqabaaaleqaaaaa@308D@   >   s )/ p ( S C U   MathType@MTEF@5@5@+=feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY=wiFfYdH8Gipec8Eeeu0xXdbba9frFj0=OqFfea0dXdd9vqai=hGuQ8kuc9pgc9s8qqaq=dirpe0xb9q8qiLsFr0=vr0=vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacqWGtbWudaWgaaWcbaGaem4qam0aaSbaaWqaaiabdwfavbqabaaaleqaaaaa@3081@   >   s )). The doted vertical line in each panel shows the value of  s , such that  p ( S C U   MathType@MTEF@5@5@+=feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY=wiFfYdH8Gipec8Eeeu0xXdbba9frFj0=OqFfea0dXdd9vqai=hGuQ8kuc9pgc9s8qqaq=dirpe0xb9q8qiLsFr0=vr0=vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacqWGtbWudaWgaaWcbaGaem4qam0aaSbaaWqaaiabdwfavbqabaaaleqaaaaa@3081@   >   s )  < 0.01 , and  s  is the cutoff for SphR binding site predictions.  p ( S C U   MathType@MTEF@5@5@+=feaafiart1ev1aaatCvAUfKttLearuWrP9MDH5MBPbIqV92AaeXatLxBI9gBaebbnrfifHhDYfgasaacH8akY=wiFfYdH8Gipec8Eeeu0xXdbba9frFj0=OqFfea0dXdd9vqai=hGuQ8kuc9pgc9s8qqaq=dirpe0xb9q8qiLsFr0=vr0=vr0dc8meaabaqaciaacaGaaeqabaqabeGadaaakeaacqWGtbWudaWgaaWcbaGaem4qam0aaSbaaWqaaiabdwfavbqabaaaleqaaaaa@3081@   >   s ) is also used to estimate the  p  value.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2164-8-9-1	The synteny viewer. Panel a displays syntenic chromosomal regions from  A. gossypii  and  S. cerevisiae . Panel b shows different levels of the  MultiContigView  as indicated where homologous genes in a given region are connected with lines.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2164-9-390-1	Correlation of signal intensities . Scatterplots of untreated wild type strain samples on (A) different arrays of the same slide; (B) different arrays on different slides. Red line: linear regression of the data; blue line: theoretical perfect correlation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2172-9-68-1	Effects of the oral administration of varying doses of LcZhang on cytokines secretion . Induction of major immunoregulatory cytokines (A: IFN- γ ; B: IL-12; C: TNF- α ; D: IL-1 α ) levels in serum by live LcZhang and heat-killed bacteria after 15 days oral administration. Data represent the mean  ±  standard deviation of each cytokine in pg/ml in serum for each test treatment ( n  = 10). Three dosages of bacteria were shown: low dose means 0.25    10 9  cells/ml; medium dose means 0.5    10 9  cells/ml; high dose means 1.0    10 9  cells/ml. ""Control"" refers to the same volume of PBS (open column); ""killed"" represents heat killed LcZhang (grey column); ""live"" represents live LcZhang (solid column). Data are means  ±  S.D. Error bars represent S.D. *P  <  0.05; **P  <  0.01.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2180-10-186-2	Light micrographs of control-and  Acanthamoeba- injected locust brains on different days post-infection . Locusts were injected with 10 6  amoebae/culture medium only and their brains were isolated", fixed and sectioned on days 3, 5 and 7 post infection. Trophozoites of amoebae were observed inside the locusts' brains on days 5  (C)  and 7  (D)  post-infection, but not on day 3  (B)  indicated by arrowheads. Disruption of the organisation within the brain tissue was also noticeable on days 5 and 7, but not on day 3. No amoeba or histopathological damage was observed in the control brains  (A)  and/or the capsule of the brain barrier. Note that the above images are representative micrographs of the genotype T4, but, similar results were observed with the T1 genotype. Magnification is    400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2180-10-320-5	Adherence through protein receptors on HEp-2 cells .  (A)  Adhesion of  E. coli  to surface-modified HEp-2 cells. HEp-2 cells were pre-incubated with medium alone", pronase (50 and 500  μ g/ml), and phospholipase A2 (200  μ g/ml), respectively, prior to the adhesion assay.  (B)  Adhesion of  E. coli  to HEp-2 cells with pre-treatment of monoclonal antibodies (mAb) against  α 2,  β 1, and  α 2 β 1 integrins.  (C)  Adhesion of  E. coli  to HEp-2 cells with pre-treatment of polyclonal antibodies (pAb) against  α 2 and  β 1 integrins.  (D)  Adhesion of  E. coli  to C2C12 myoblasts and HUVECs. Data represent means of five experiments with triplicate samples in each experiment. * P  <  0.05, ** P  <  0.01, and *** P  <  0.001.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2180-9-22-2	Western immunoblot to detect expression of ClfB", SdrC, SdrD and SdrE . A-D. Cell wall associated proteins from strains Newman, Newman  clfA , Newman  clfA clfB , Newman  clfA isdA clfB , Newman  clfA clfB sdrCDE , Newman  clfA isdA clfB sdrCDE , Newman  clfA sdrCDE , Newman  clfA isdA sdrCDE  and Newman  clfA isdA clfB sdrCDE  (pCU1) and (A) Newman  clfA isdA clfB sdrCDE  (pCU1 clfB + ), (B) Newman  clfA isdA clfB sdrCDE  (pCU1 sdrC + ), (C) Newman  clfA isdA clfB sdrCDE  (pCU1 sdrD + ), (D) Newman  clfA isdA clfB sdrCDE  (pCU1 sdrE + ) were grown to the exponential phase in TSB, cell wall associated proteins were solubilised by lysostaphin and run on 7.5% SDS-PAGE gels. Western immunoblotting was performed with (A) rabbit anti-ClfB antibodies, (B) rabbit anti-SdrC antibodies, (C) rabbit anti-SdrD antibodies and (D) rabbit anti-SdrE antibodies and subsequently with HRP-conjugated protein A-peroxidase.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-230X-10-93-1	The color Doppler echocardiographic findings . A: M-mode and two-dimensional echocardiography shows the right atrial dimensions are 5.71  5.85 cm. B: Continuous wave Doppler shows the tricuspid valve regurgitation velocity is 4.6 m/s and the pressure gradient between right ventricle and right atrium is 85 mmHg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2334-9-75-1	Distribution of cytokines among Type 1 reaction leprosy patients (traced boxes) and controls without reaction (white boxes) . (A) Pro inflammatory Cytokines", CXCL10 and IL-6 median values were statistically higher for TR1 than controls (B) Anti Inflammatory cytokines (C) Growth Factors. Boxes encompass 25th and 75th percentiles of each cytokine distribution. Black lines within boxes refer to the median values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2377-6-12-12	COX-2 is increased in the dorsolateral white matter of ALS spinal cord. Top", Mean % area of COX-2 immunoreactivity in spinal cord (open box, control, shaded ALS) and bottom, Mean % area of CD68 immunoreactivity in spinal cord. Mean  ±  SEM *  P  = 0.0012, **  P  = 0.0047.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2407-7-108-9	DR4 and DR5 immunohistochemical staining of the lesion shown in figure 8 (   100). Dysplastic epithelium and associated mononuclear immune cell infiltrate (MNC) demonstrate intense staining for both DR4 and DR5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2407-9-12-1	FAK- and adhesion-effects on v-Src substrate choice . ( A ) FAK+/+[puro]", FAK-/-[puro] , FAK+/+[v-Src] and FAK-/-[v-Src]  cells grown in adherent or suspension conditions as described in Experimental Procedures were analyzed by IB for levels of total Src, Src poY416  autophosphorylation or GAPDH (as a loading control). [Note that the decrease in Src protein, Src poY416  and GAPDH levels in lane 2 (second from left) is not reproducible; relative Src activation levels in adherent FAK-/-[v-Src] cells are typically comparable to those in adherent FAK+/+[v-Src]  cells]. ( B ) Anti-phosphotyrosine (MAb4G10) IB from equal protein loads of FAK+/+[puro], FAK-/-[puro] , FAK+/+[v-Src] and FAK-/-[v-Src]  cell lysates. M, proteins markers in kDa. Decreased Src-induced tyrosine phosphorylation events in the absence of FAK are marked by arrows whereas increased tyrosine phosphorylation events in the absence of FAK are marked by asterisks. These data are typical of at least three independent experiments. A GAPDH IB is shown below as a loading control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2407-9-371-4	Copy number analysis of MSX2 .  (A)  FISH analysis of tetraploid CCRF-CEM cells", using a painting probe for chromosome 5 (green) and RP11-54H11 probe for MSX2 (red). Of note, one allele of MSX2 (located at 5q35) is deleted on der(5). FISH analysis of PEER  (B)  and HPB-ALL  (C) , using probes for MSX2 (54H11, green), NKX2-5 (fosmid1, red) and TLX3 (fosmid2, orange). Data indicate deletion of MSX2 with concomitant rearrangement of NKX2-5 (PEER) or TLX3 (HPB-ALL).  (D)  Quantitative analysis of MSX2 copy numbers was performed by genomic real-time PCR in 12 selected T-cell lines. The MEF2C locus was used as endogenous control as described previously [ 29 ]. Of note, cell lines CCRF-CEM, HPB-ALL and PEER demonstrate bisected quantities, indicating deletion of one allele of MSX2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2458-7-55-1	Temporal trends in drinking and driving in the SUN cohort (non-drivers were excluded) . Odds ratio estimates were computed after adjusting for categories of age", profession, average kilometres driven per year, use of safety belt, mean alcohol intake, drinking pattern, binge drinking, history of traffic injury and smoking status.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2474-5-24-5	mRNA levels of three genes related to nerve function and up-regulated more in older rats than in younger rats following femoral fracture.  The increase with age was significant at P  <  0.001 (top graph)", P = 0.01 (middle graph), and P  <  0.001 (bottom graph). The data are presented as in Figure 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1471-2482-5-22-1	A-F  Respiratory parameters: (A) arterial oxygen pressure", (B) venous oxygen pressure, (C) arterial carbon dioxide pressure, (D) venous carbon dioxide pressure, (E) arterial oxygen saturation, and (F) venous oxygen saturation; group I (saline) = triangle and group II (zinc) = circle; *p  <  0,05; x-axis nonlinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1472-6750-8-46-1	Characteristics of HCPT-loaded nanoparticles . (A-C): UV spectrum of HCPT detected by ultraviolet spectrophotometry. At wavelengths of 326 and 368 nm", both the HCPT standard sample (A) and the mixture of HCPT and PBLG/PEG (B) had high absorbency, but the absorbency of HCPT-loaded PBLG/PEG nanoparticles (C) was greatly decreased. (D) The morphology of HCPT-loaded nanoparticles was found under scanning electron microscopy (   160 000) to be a core-shell structure, spherical or elliptical, with a smooth surface. The hydrophobic central core was a grayish area, approximately 200 nm in diameter. The hydrophilic shell was a bright white ring, approximately 30 nm thick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1472-6785-8-22-2	Relative abundances over time", within sites, of the two most common insects . a.  Culicoides guttipennis  relative abundances. b.  Aedes triseriatus  relative abundances. Relative abundance is the proportion of all larvae in a treehole in one census belonging to a particular species. Closed circles are for site 1 on the Ecological Preserve (DCEP), open circles are for site 2 (DCEP), and triangles are for site 3 on the Lake Campus (DCLC). Error bars represent 1 SE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1475-2840-4-16-1	A. Glucosamine treatment increases  35 SO 4  incorporation into PG. Endothelial cells were labeled with  35 S sulfate (25  μ Ci/ml) in medium alone (Control) or medium containing 30 mM glucose or 2.5 mM glucosamine 16 h. Radioactivity associated with proteoglycans (PG) from cells", media and extracellular matrix was determined. Values are expressed as mean  ±  SD B. Glucosamine mediated increase in PG is mostly in heparan sulfate proteoglycans (HSPG). Media and matrix PG prepared from control and glucosamine treated endothelial cells were treated with chondroitinase ABC for 4 h at 37 ° C and undigested PG were precipitated and determined as HSPG. To determine if the undigested glycosaminoglycan (GAG) is HS, aliquots were subjected to low pH nitrous acid digestion. 1C. Glucose and glucosamine effects on perlecan mRNA (Real time PCR  ��  1C bar) and protein (immunoprecipitated protein in media 1C line) p  <  0.01.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1475-2867-11-3-5	Semi-quantitative Analysis of GLUT-1", HXK2, GAPDH, and LDH . Image J software was used to determine the relative intensity of protein expression. The integrated density of each band was measured; this value was divided by the integrated density of the  β -actin protein band to determine the relative intensity. All wild-type, normoxic (WT) cell lines are indicated by checkered green bars, all cell lines exposed to 3-days hypoxia (3HYP) are indicated by diagonal-lined pink bars, all cell lines exposed to 5-days of hypoxia (5HYP) are displayed by blue brick bars, and the established MDR cell line (TR) is displayed as the speckled purple bar (the second bar on each graph). The cell lines are SKOV3 (SK), MDA-MB-231 (231), OVCAR5 (OV), and MDA-MB-435 (435).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
