ID,FIG_NAME,MODALITY,HIGH_MODALITY
35,1423-0127-16-6-3-2,GFIG,GRAPHICS
36,1423-0127-16-6-5-1,GFIG,GRAPHICS
37,1423-0127-16-6-5-2,GGEL,EXPERIMENTAL
38,1423-0127-16-6-5-3,GGEL,EXPERIMENTAL
39,1423-0127-16-7-1-1,DMEL,MICROSCOPY
40,1423-0127-16-7-1-2,DMEL,MICROSCOPY
41,1423-0127-16-7-1-3,GFIG,GRAPHICS
42,1423-0127-16-7-1-4,DMEL,MICROSCOPY
43,1423-0127-16-7-1-5,DMEL,MICROSCOPY
44,1423-0127-16-7-1-6,DMEL,MICROSCOPY
45,1423-0127-16-88-1-1,DMEL,MICROSCOPY
46,1423-0127-16-88-1-2,DRMR,ORGANISMS
47,1423-0127-16-88-1-3,DMLI,MICROSCOPY
48,1423-0127-16-88-1-4,DMFL,MICROSCOPY
49,1423-0127-16-88-1-5,DMFL,MICROSCOPY
50,1423-0127-17-22-2-1,GGEL,EXPERIMENTAL
51,1423-0127-17-22-2-2,GGEL,EXPERIMENTAL
52,1423-0127-17-22-2-3,GFIG,GRAPHICS
53,1423-0127-17-22-2-4,GTAB,OTHER
54,1423-0127-17-34-3-1,D3DR,MOLECULAR
55,1423-0127-17-34-3-2,D3DR,MOLECULAR
56,1423-0127-17-34-3-3,D3DR,MOLECULAR
57,1423-0127-17-34-5-1,D3DR,MOLECULAR
58,1423-0127-17-34-5-2,D3DR,MOLECULAR
59,1423-0127-17-34-6-1,GHDR,GRAPHICS
60,1423-0127-17-34-6-2,GHDR,GRAPHICS
61,1423-0127-17-77-3-1,DMEL,MICROSCOPY
62,1423-0127-17-77-3-2,DMLI,MICROSCOPY
63,1423-0127-17-77-3-3,DMFL,MICROSCOPY
64,1423-0127-17-77-3-4,DMFL,MICROSCOPY
65,1423-0127-17-80-4-1,GFIG,GRAPHICS
66,1423-0127-17-80-4-2,GFIG,GRAPHICS
67,1423-0127-17-80-4-3,GFIG,GRAPHICS
68,1423-0127-17-80-4-4,GFIG,GRAPHICS
69,1423-0127-18-32-6-1,DMFL,MICROSCOPY
70,1423-0127-18-32-6-2,DMFL,MICROSCOPY
71,1423-0127-18-32-6-3,DMFL,MICROSCOPY
72,1423-0127-18-32-6-4,DMFL,MICROSCOPY
73,1465-9921-10-20-1-1,GFIG,GRAPHICS
74,1465-9921-10-20-1-2,GFIG,GRAPHICS
75,1465-9921-10-20-1-3,GFIG,GRAPHICS
76,1465-9921-10-22-7-1,GFIG,GRAPHICS
77,1465-9921-10-22-7-2,GFIG,GRAPHICS
78,1465-9921-10-22-8-1,GFIG,GRAPHICS
79,1465-9921-10-22-8-2,GFIG,GRAPHICS
80,1465-9921-10-26-1-1,GFIG,GRAPHICS
81,1465-9921-10-26-1-2,GGEL,EXPERIMENTAL
82,1465-9921-10-26-1-3,GGEL,EXPERIMENTAL
83,1465-9921-10-26-1-4,GFIG,GRAPHICS
84,1465-9921-10-26-2-1,GFIG,GRAPHICS
85,1465-9921-10-26-2-2,GGEL,EXPERIMENTAL
86,1465-9921-10-26-2-3,GGEL,EXPERIMENTAL
87,1465-9921-11-121-1-1,GFIG,GRAPHICS
88,1465-9921-11-121-1-2,GFIG,GRAPHICS
89,1465-9921-11-121-1-3,GFIG,GRAPHICS
90,1465-9921-11-121-1-4,GFIG,GRAPHICS
91,1465-9921-11-121-1-5,GFIG,GRAPHICS
92,1465-9921-11-121-2-1,GFIG,GRAPHICS
93,1465-9921-11-121-2-2,GFIG,GRAPHICS
94,1465-9921-11-121-2-3,GFIG,GRAPHICS
95,1465-9921-11-121-2-4,GFIG,GRAPHICS
96,1465-9921-11-121-2-5,GFIG,GRAPHICS
97,1465-9921-11-121-2-6,GFIG,GRAPHICS
98,1465-9921-11-121-3-1,GFIG,GRAPHICS
99,1465-9921-11-121-3-2,GFIG,GRAPHICS
100,1465-9921-11-121-3-3,GFIG,GRAPHICS
101,1465-9921-11-121-3-4,GFIG,GRAPHICS
102,1465-9921-11-122-3-1,GFIG,GRAPHICS
103,1465-9921-11-122-3-2,GFIG,GRAPHICS
104,1465-9921-11-124-1-1,DMLI,MICROSCOPY
105,1465-9921-11-124-1-2,DMLI,MICROSCOPY
106,1465-9921-11-124-1-3,DMEL,MICROSCOPY
107,1465-9921-11-124-1-4,DMEL,MICROSCOPY
108,1465-9921-11-124-1-5,GFIG,GRAPHICS
109,1465-9921-11-124-1-6,GFIG,GRAPHICS
110,1465-9921-11-124-1-7,GFIG,GRAPHICS
111,1465-9921-11-139-3-1,GFIG,GRAPHICS
112,1465-9921-11-139-3-2,GFIG,GRAPHICS
113,1465-9921-11-139-3-3,GFIG,GRAPHICS
114,1465-9921-11-139-3-4,GFIG,GRAPHICS
115,1465-9921-11-139-6-1,GFIG,GRAPHICS
116,1465-9921-11-139-6-2,GFIG,GRAPHICS
117,1465-9921-11-139-7-1,GFIG,GRAPHICS
118,1465-9921-11-139-7-2,GFIG,GRAPHICS
119,1465-9921-11-139-7-3,GFIG,GRAPHICS
120,1465-9921-11-154-2-1,GFIG,GRAPHICS
121,1465-9921-11-154-2-2,DMLI,MICROSCOPY
122,1465-9921-11-154-2-3,DMLI,MICROSCOPY
123,1465-9921-11-154-2-4,DMLI,MICROSCOPY
124,1465-9921-11-154-2-5,DMLI,MICROSCOPY
125,1465-9921-11-154-7-1,DMLI,MICROSCOPY
126,1465-9921-11-154-7-2,DMLI,MICROSCOPY
127,1465-9921-11-154-7-3,DMLI,MICROSCOPY
128,1465-9921-11-154-7-4,DMLI,MICROSCOPY
129,1465-9921-11-154-7-5,GFIG,GRAPHICS
130,1465-9921-11-154-7-6,GFIG,GRAPHICS
131,1465-9921-11-154-7-7,GFIG,GRAPHICS
132,1465-9921-11-154-7-8,GFIG,GRAPHICS
133,1465-9921-11-154-7-9,GFIG,GRAPHICS
134,1465-9921-11-21-6-1,DMEL,MICROSCOPY
135,1465-9921-11-21-6-2,DMEL,MICROSCOPY
136,1465-9921-11-21-6-3,DMEL,MICROSCOPY
137,1465-9921-11-21-6-4,DMEL,MICROSCOPY
138,1465-9921-11-99-5-1,DMLI,MICROSCOPY
139,1465-9921-11-99-5-2,DMLI,MICROSCOPY
140,1465-9921-11-99-5-3,DMLI,MICROSCOPY
141,1465-9921-12-111-1-1,DRCT,ORGANISMS
142,1465-9921-12-111-1-2,DRCT,ORGANISMS
143,1465-9921-12-111-1-3,DRCT,ORGANISMS
144,1465-9921-12-111-1-4,DRCT,ORGANISMS
145,1465-9921-12-111-2-1,DMTR,MICROSCOPY
146,1465-9921-12-111-2-2,DMLI,MICROSCOPY
147,1465-9921-12-111-2-3,DMLI,MICROSCOPY
148,1465-9921-12-111-2-4,DMLI,MICROSCOPY
149,1465-9921-12-111-2-5,DMLI,MICROSCOPY
150,1465-9921-12-142-3-1,GFIG,GRAPHICS
151,1465-9921-12-142-3-2,GFIG,GRAPHICS
152,1465-9921-12-142-3-3,GFIG,GRAPHICS
153,1465-9921-12-142-3-4,GFIG,GRAPHICS
154,1465-9921-12-142-3-5,GFIG,GRAPHICS
155,1465-9921-12-142-3-6,GFIG,GRAPHICS
156,1465-9921-12-61-2-1,GFIG,GRAPHICS
157,1465-9921-12-61-2-2,GFIG,GRAPHICS
158,1465-9921-12-61-2-3,GSCR,OTHER
159,1465-9921-12-61-2-4,GFIG,GRAPHICS
160,1465-9921-12-61-7-1,GFIG,GRAPHICS
161,1465-9921-12-61-7-2,GFIG,GRAPHICS
162,1465-9921-12-61-7-3,GFIG,GRAPHICS
163,1465-9921-12-61-7-4,GGEN,MOLECULAR
164,1465-9921-12-77-1-1,GFIG,GRAPHICS
165,1465-9921-12-77-1-2,GFIG,GRAPHICS
166,1465-9921-12-77-1-3,GFIG,GRAPHICS
167,1465-9921-12-77-1-4,GFIG,GRAPHICS
168,1465-9921-12-77-1-5,GFIG,GRAPHICS
169,1465-9921-12-77-1-6,GFIG,GRAPHICS
170,1465-9921-12-77-1-7,GFIG,GRAPHICS
171,1465-9921-5-25-3-1,GFIG,GRAPHICS
172,1465-9921-5-25-3-2,GFIG,GRAPHICS
173,1465-9921-5-25-3-3,GFIG,GRAPHICS
174,1465-9921-6-60-3-1,DMTR,MICROSCOPY
175,1465-9921-6-60-3-2,DMTR,MICROSCOPY
176,1465-9921-6-60-3-3,DMTR,MICROSCOPY
177,1465-9921-6-83-11-1,DMLI,MICROSCOPY
178,1465-9921-6-83-11-2,DMLI,MICROSCOPY
179,1465-9921-7-112-1-1,GCHE,MOLECULAR
180,1465-9921-7-112-1-2,DMTR,MICROSCOPY
181,1465-9921-7-112-1-3,GFIG,GRAPHICS
182,1465-9921-7-116-4-1,GFIG,GRAPHICS
183,1465-9921-7-116-4-2,GFIG,GRAPHICS
184,1465-9921-7-116-4-3,GFIG,GRAPHICS
185,1465-9921-7-116-4-4,GFIG,GRAPHICS
186,1465-9921-7-24-6-1,DMTR,MICROSCOPY
187,1465-9921-7-24-6-2,DMTR,MICROSCOPY
188,1465-9921-7-24-6-3,DMTR,MICROSCOPY
189,1465-9921-7-24-6-4,DMTR,MICROSCOPY
190,1465-9921-7-50-3-1,DMFL,MICROSCOPY
191,1465-9921-7-50-3-2,DMFL,MICROSCOPY
192,1465-9921-7-50-3-3,DMFL,MICROSCOPY
193,1465-9921-7-50-3-4,DMFL,MICROSCOPY
194,1465-9921-7-50-3-5,DMFL,MICROSCOPY
195,1465-9921-7-50-3-6,DMFL,MICROSCOPY
196,1465-9921-7-50-3-7,DMFL,MICROSCOPY
197,1465-9921-7-50-3-8,DMFL,MICROSCOPY
198,1465-9921-7-50-6-1,DMLI,MICROSCOPY
199,1465-9921-7-50-6-2,DMLI,MICROSCOPY
200,1465-9921-7-50-6-3,DMLI,MICROSCOPY
201,1465-9921-7-50-6-4,DMFL,MICROSCOPY
202,1465-9921-7-50-6-5,DMFL,MICROSCOPY
203,1465-9921-7-50-6-6,DMFL,MICROSCOPY
204,1465-9921-7-50-6-7,DMFL,MICROSCOPY
205,1465-9921-7-50-6-8,DMEL,MICROSCOPY
206,1465-9921-7-68-1-1,GFIG,GRAPHICS
207,1465-9921-7-68-1-2,GGEL,EXPERIMENTAL
208,1465-9921-7-68-1-3,GFIG,GRAPHICS
209,1465-9921-7-68-1-4,GGEL,EXPERIMENTAL
210,1465-9921-7-68-1-5,GFIG,GRAPHICS
211,1465-9921-7-68-1-6,GGEL,EXPERIMENTAL
212,1465-9921-7-9-4-1,GFIG,GRAPHICS
213,1465-9921-7-9-4-2,GFIG,GRAPHICS
214,1465-9921-7-9-4-3,GFIG,GRAPHICS
215,1465-9921-7-9-4-4,GFIG,GRAPHICS
216,1465-9921-8-3-2-10,DMLI,MICROSCOPY
217,1465-9921-8-3-2-11,DMLI,MICROSCOPY
218,1465-9921-8-3-2-12,DMLI,MICROSCOPY
219,1465-9921-8-3-2-13,GFIG,GRAPHICS
220,1465-9921-8-3-2-14,GFIG,GRAPHICS
221,1465-9921-8-3-2-1,DMLI,MICROSCOPY
222,1465-9921-8-3-2-2,DMLI,MICROSCOPY
223,1465-9921-8-3-2-3,DMLI,MICROSCOPY
224,1465-9921-8-3-2-4,DMLI,MICROSCOPY
225,1465-9921-8-3-2-5,DMLI,MICROSCOPY
226,1465-9921-8-3-2-6,DMLI,MICROSCOPY
227,1465-9921-8-3-2-7,DMLI,MICROSCOPY
228,1465-9921-8-3-2-8,DMLI,MICROSCOPY
229,1465-9921-8-3-2-9,DMLI,MICROSCOPY
230,1465-9921-9-28-8-1,DMLI,MICROSCOPY
231,1465-9921-9-28-8-2,DMLI,MICROSCOPY
232,1465-9921-9-28-8-3,DMLI,MICROSCOPY
233,1465-9921-9-28-8-4,DMLI,MICROSCOPY
234,1465-9921-9-28-8-5,DMLI,MICROSCOPY
235,1465-9921-9-28-8-6,DMLI,MICROSCOPY
236,1467-4866-10-4-9-1,GFIG,GRAPHICS
237,1467-4866-10-4-9-2,GFIG,GRAPHICS
238,1467-4866-10-4-9-3,GFIG,GRAPHICS
239,1467-4866-10-4-9-4,GFIG,GRAPHICS
240,1467-4866-12-6-1-1,DMLI,MICROSCOPY
241,1467-4866-12-6-1-2,DMEL,MICROSCOPY
242,1467-4866-12-6-1-3,DMEL,MICROSCOPY
243,1467-4866-12-6-1-4,DMTR,MICROSCOPY
244,1467-4866-7-5-2-1,DMLI,MICROSCOPY
245,1467-4866-7-5-2-2,DMLI,MICROSCOPY
246,1467-4866-7-5-2-3,DMLI,MICROSCOPY
247,1467-4866-7-5-2-4,DMLI,MICROSCOPY
248,1467-4866-7-5-2-5,DMLI,MICROSCOPY
249,1467-4866-7-5-2-6,DMLI,MICROSCOPY
250,1471-2091-10-22-6-1,GFIG,GRAPHICS
251,1471-2091-10-22-6-2,DMFL,MICROSCOPY
252,1471-2091-10-22-6-3,DMFL,MICROSCOPY
253,1471-2091-10-22-6-4,DMFL,MICROSCOPY
254,1471-2091-10-22-6-5,DMFL,MICROSCOPY
255,1471-2091-10-22-6-6,DMFL,MICROSCOPY
256,1471-2091-10-22-6-7,DMFL,MICROSCOPY
257,1471-2091-10-23-5-1,GGEN,MOLECULAR
258,1471-2091-10-23-5-2,GGEN,MOLECULAR
259,1471-2091-10-3-3-1,GFIG,GRAPHICS
260,1471-2091-10-3-3-2,GFIG,GRAPHICS
261,1471-2091-10-3-3-3,GFIG,GRAPHICS
262,1471-2091-10-3-3-4,GFIG,GRAPHICS
263,1471-2091-11-14-3-1,DMTR,MICROSCOPY
264,1471-2091-11-14-3-2,DMFL,MICROSCOPY
265,1471-2091-11-14-3-3,DMFL,MICROSCOPY
266,1471-2091-11-14-3-4,DMFL,MICROSCOPY
267,1471-2091-11-27-6-1,GFIG,GRAPHICS
268,1471-2091-11-27-6-2,GFIG,GRAPHICS
269,1471-2091-11-44-3-1,GFIG,GRAPHICS
270,1471-2091-11-44-3-2,GFIG,GRAPHICS
271,1471-2091-11-44-3-3,GFIG,GRAPHICS
272,1471-2091-11-44-3-4,GFIG,GRAPHICS
273,1471-2091-11-44-3-5,GFIG,GRAPHICS
274,1471-2091-12-1-3-1,GFIG,GRAPHICS
275,1471-2091-12-1-3-2,GGEL,EXPERIMENTAL
276,1471-2091-4-6-1-1,GFIG,GRAPHICS
277,1471-2091-4-6-1-2,GFIG,GRAPHICS
278,1471-2091-4-6-1-3,GGEL,EXPERIMENTAL
279,1471-2091-4-6-1-4,GGEL,EXPERIMENTAL
280,1471-2091-4-6-5-1,GGEL,EXPERIMENTAL
281,1471-2091-4-6-5-2,GGEL,EXPERIMENTAL
282,1471-2091-5-12-1-1,GGEL,EXPERIMENTAL
283,1471-2091-5-12-1-2,GGEL,EXPERIMENTAL
284,1471-2091-5-12-1-3,GFIG,GRAPHICS
285,1471-2091-5-12-1-4,GGEL,EXPERIMENTAL
286,1471-2091-5-12-1-5,GGEL,EXPERIMENTAL
287,1471-2091-5-12-1-6,GFIG,GRAPHICS
288,1471-2091-5-12-4-1,D3DR,MOLECULAR
289,1471-2091-5-12-4-2,D3DR,MOLECULAR
290,1471-2091-5-12-4-3,D3DR,MOLECULAR
291,1471-2091-5-12-4-4,D3DR,MOLECULAR
292,1471-2091-7-13-5-1,GGEL,EXPERIMENTAL
293,1471-2091-7-13-5-2,GGEL,EXPERIMENTAL
294,1471-2091-7-24-1-1,GGEL,EXPERIMENTAL
295,1471-2091-7-24-1-2,GGEL,EXPERIMENTAL
296,1471-2091-7-24-1-3,GFIG,GRAPHICS
297,1471-2091-7-24-1-4,DMEL,MICROSCOPY
298,1471-2091-8-16-4-1,GGEL,EXPERIMENTAL
299,1471-2091-8-16-4-2,GGEL,EXPERIMENTAL
300,1471-2091-8-16-4-3,GGEL,EXPERIMENTAL
301,1471-2091-9-17-5-1,GFIG,GRAPHICS
302,1471-2091-9-17-5-2,GFIG,GRAPHICS
303,1471-2091-9-18-5-1,DMFL,MICROSCOPY
304,1471-2091-9-18-5-2,DMFL,MICROSCOPY
305,1471-2091-9-18-5-3,DMFL,MICROSCOPY
306,1471-2091-9-18-5-4,DMFL,MICROSCOPY
307,1471-2091-9-4-3-10,GGEL,EXPERIMENTAL
308,1471-2091-9-4-3-1,GMAT,OTHER
309,1471-2091-9-4-3-2,GMAT,OTHER
310,1471-2091-9-4-3-3,GMAT,OTHER
311,1471-2091-9-4-3-4,GMAT,OTHER
312,1471-2091-9-4-3-5,GGEL,EXPERIMENTAL
313,1471-2091-9-4-3-6,GMAT,OTHER
314,1471-2091-9-4-3-7,GMAT,OTHER
315,1471-2091-9-4-3-8,GMAT,OTHER
316,1471-2091-9-4-3-9,GMAT,OTHER
317,1471-2091-9-5-6-1,GFIG,GRAPHICS
318,1471-2091-9-5-6-2,GFIG,GRAPHICS
319,1471-2091-9-5-6-3,GFIG,GRAPHICS
320,1471-2091-9-5-6-4,GFIG,GRAPHICS
321,1471-2091-9-5-6-5,GFIG,GRAPHICS
322,1471-2105-10-113-6-1,GGEN,MOLECULAR
323,1471-2105-10-113-6-2,GGEN,MOLECULAR
324,1471-2105-10-113-6-3,GGEN,MOLECULAR
325,1471-2105-10-113-6-4,GGEN,MOLECULAR
326,1471-2105-10-113-6-5,GGEN,MOLECULAR
327,1471-2105-10-113-6-6,GGEN,MOLECULAR
328,1471-2105-10-113-7-1,GGEN,MOLECULAR
329,1471-2105-10-113-7-2,GGEN,MOLECULAR
330,1471-2105-10-113-7-3,GGEN,MOLECULAR
331,1471-2105-10-113-7-4,GGEN,MOLECULAR
332,1471-2105-10-113-7-5,GGEN,MOLECULAR
333,1471-2105-10-113-7-6,GGEN,MOLECULAR
334,1471-2105-10-113-7-7,GGEN,MOLECULAR
335,1471-2105-10-113-7-8,GGEN,MOLECULAR
336,1471-2105-10-156-2-1,GFIG,GRAPHICS
337,1471-2105-10-156-2-2,GFIG,GRAPHICS
338,1471-2105-10-156-2-3,GFIG,GRAPHICS
339,1471-2105-10-156-2-4,GFIG,GRAPHICS
340,1471-2105-10-157-2-1,D3DR,MOLECULAR
341,1471-2105-10-157-2-2,GHDR,GRAPHICS
342,1471-2105-10-157-2-3,D3DR,MOLECULAR
343,1471-2105-10-157-2-4,D3DR,MOLECULAR
344,1471-2105-10-157-2-5,GFIG,GRAPHICS
345,1471-2105-10-157-2-6,GFIG,GRAPHICS
346,1471-2105-10-157-7-1,D3DR,MOLECULAR
347,1471-2105-10-157-7-2,D3DR,MOLECULAR
348,1471-2105-10-157-7-3,GFIG,GRAPHICS
349,1471-2105-10-157-7-4,GFIG,GRAPHICS
350,1471-2105-10-214-2-1,GFIG,GRAPHICS
351,1471-2105-10-214-2-2,GFIG,GRAPHICS
352,1471-2105-10-214-2-3,GFIG,GRAPHICS
353,1471-2105-10-214-2-4,GFIG,GRAPHICS
354,1471-2105-10-214-2-5,GFIG,GRAPHICS
355,1471-2105-10-214-2-6,GFIG,GRAPHICS
356,1471-2105-10-214-8-1,GFIG,GRAPHICS
357,1471-2105-10-214-8-2,GFIG,GRAPHICS
358,1471-2105-10-214-8-3,GFIG,GRAPHICS
359,1471-2105-10-214-8-4,GFIG,GRAPHICS
360,1471-2105-10-254-5-1,GFLO,GRAPHICS
361,1471-2105-10-254-5-2,GFLO,GRAPHICS
362,1471-2105-10-254-5-3,GTAB,OTHER
363,1471-2105-10-254-5-4,GTAB,OTHER
364,1471-2105-10-254-5-5,GTAB,OTHER
365,1471-2105-10-254-8-1,GGEN,MOLECULAR
366,1471-2105-10-254-8-2,GFIG,GRAPHICS
367,1471-2105-10-254-8-3,GTAB,OTHER
368,1471-2105-10-273-3-1,GGEN,MOLECULAR
369,1471-2105-10-273-3-2,GHDR,GRAPHICS
370,1471-2105-10-273-3-3,GSYS,OTHER
371,1471-2105-10-298-1-1,GGEN,MOLECULAR
372,1471-2105-10-298-1-2,GGEN,MOLECULAR
373,1471-2105-10-298-1-3,GFLO,GRAPHICS
374,1471-2105-10-298-1-4,GGEN,MOLECULAR
375,1471-2105-10-298-1-5,GGEN,MOLECULAR
376,1471-2105-10-298-1-6,GSYS,OTHER
377,1471-2105-10-351-2-1,D3DR,MOLECULAR
378,1471-2105-10-351-2-2,D3DR,MOLECULAR
379,1471-2105-10-351-2-3,D3DR,MOLECULAR
380,1471-2105-10-351-2-4,D3DR,MOLECULAR
381,1471-2105-10-351-2-5,D3DR,MOLECULAR
382,1471-2105-10-351-2-6,D3DR,MOLECULAR
383,1471-2105-10-351-2-7,D3DR,MOLECULAR
384,1471-2105-10-351-2-8,D3DR,MOLECULAR
385,1471-2105-10-435-2-1,GFIG,GRAPHICS
386,1471-2105-10-435-2-2,GFIG,GRAPHICS
387,1471-2105-10-435-2-3,GFIG,GRAPHICS
388,1471-2105-10-435-2-4,GFIG,GRAPHICS
389,1471-2105-10-435-2-5,GFIG,GRAPHICS
390,1471-2105-10-435-2-6,GFIG,GRAPHICS
391,1471-2105-10-75-2-1,DMTR,MICROSCOPY
392,1471-2105-10-75-2-2,DMTR,MICROSCOPY
393,1471-2105-10-75-2-3,GFIG,GRAPHICS
394,1471-2105-10-75-2-4,DMEL,MICROSCOPY
395,1471-2105-10-S12-S12-6-1,GFIG,GRAPHICS
396,1471-2105-10-S12-S12-6-2,GFIG,GRAPHICS
397,1471-2105-10-S12-S12-6-3,GFIG,GRAPHICS
398,1471-2105-10-S12-S12-7-1,GFIG,GRAPHICS
399,1471-2105-10-S12-S12-7-2,DMEL,MICROSCOPY
400,1471-2105-10-S12-S12-7-3,GFIG,GRAPHICS
401,1471-2105-10-S12-S12-8-1,GSCR,OTHER
402,1471-2105-10-S12-S12-8-2,GSCR,OTHER
403,1471-2105-10-S12-S12-8-3,GSCR,OTHER
404,1471-2105-10-S1-S39-9-1,GSYS,OTHER
405,1471-2105-10-S1-S39-9-2,GFIG,GRAPHICS
406,1471-2105-10-S1-S39-9-3,GSYS,OTHER
407,1471-2105-10-S1-S39-9-4,GFIG,GRAPHICS
408,1471-2105-11-141-6-1,GFIG,GRAPHICS
409,1471-2105-11-141-6-2,GFIG,GRAPHICS
410,1471-2105-11-141-7-1,GFIG,GRAPHICS
411,1471-2105-11-141-7-2,GFIG,GRAPHICS
412,1471-2105-11-141-7-3,GFIG,GRAPHICS
413,1471-2105-11-141-7-4,GFIG,GRAPHICS
414,1471-2105-11-183-6-1,GFIG,GRAPHICS
415,1471-2105-11-183-6-2,GFIG,GRAPHICS
416,1471-2105-11-183-6-3,GFIG,GRAPHICS
417,1471-2105-11-183-6-4,GFIG,GRAPHICS
418,1471-2105-11-191-10-1,GFIG,GRAPHICS
419,1471-2105-11-191-10-2,GFIG,GRAPHICS
420,1471-2105-11-193-5-1,GCHE,MOLECULAR
421,1471-2105-11-193-5-2,GCHE,MOLECULAR
422,1471-2105-11-193-5-3,GCHE,MOLECULAR
423,1471-2105-11-193-5-4,GCHE,MOLECULAR
424,1471-2105-11-193-5-5,GCHE,MOLECULAR
425,1471-2105-11-193-8-1,GCHE,MOLECULAR
426,1471-2105-11-193-8-2,GCHE,MOLECULAR
427,1471-2105-11-193-8-3,GCHE,MOLECULAR
428,1471-2105-11-193-8-4,GCHE,MOLECULAR
429,1471-2105-11-193-8-5,GCHE,MOLECULAR
430,1471-2105-11-193-8-6,GCHE,MOLECULAR
431,1471-2105-11-203-2-1,GGEN,MOLECULAR
432,1471-2105-11-203-2-2,GGEN,MOLECULAR
433,1471-2105-11-203-2-3,GSYS,OTHER
434,1471-2105-11-291-15-1,GFIG,GRAPHICS
435,1471-2105-11-291-15-2,GFIG,GRAPHICS
436,1471-2105-11-291-15-3,GFIG,GRAPHICS
437,1471-2105-11-291-15-4,GFIG,GRAPHICS
438,1471-2105-11-314-10-10,GFIG,GRAPHICS
439,1471-2105-11-314-10-11,GFIG,GRAPHICS
440,1471-2105-11-314-10-1,GFIG,GRAPHICS
441,1471-2105-11-314-10-2,GFIG,GRAPHICS
442,1471-2105-11-314-10-3,GFIG,GRAPHICS
443,1471-2105-11-314-10-4,GFIG,GRAPHICS
444,1471-2105-11-314-10-5,GFIG,GRAPHICS
445,1471-2105-11-314-10-6,GFIG,GRAPHICS
446,1471-2105-11-314-10-7,GFIG,GRAPHICS
447,1471-2105-11-314-10-8,GFIG,GRAPHICS
448,1471-2105-11-314-10-9,GFIG,GRAPHICS
449,1471-2105-11-314-11-1,GFIG,GRAPHICS
450,1471-2105-11-314-11-2,GFIG,GRAPHICS
451,1471-2105-11-314-11-3,GFIG,GRAPHICS
452,1471-2105-11-314-11-4,GFIG,GRAPHICS
453,1471-2105-11-314-11-5,GFIG,GRAPHICS
454,1471-2105-11-320-3-1,GGEN,MOLECULAR
455,1471-2105-11-320-3-2,GFIG,GRAPHICS
456,1471-2105-11-320-3-3,GGEN,MOLECULAR
457,1471-2105-11-320-3-4,GFIG,GRAPHICS
458,1471-2105-11-333-1-1,GFIG,GRAPHICS
459,1471-2105-11-333-1-2,GFIG,GRAPHICS
460,1471-2105-11-333-1-3,GFIG,GRAPHICS
461,1471-2105-11-333-1-4,GFIG,GRAPHICS
462,1471-2105-11-333-2-1,GFIG,GRAPHICS
463,1471-2105-11-333-2-2,GFIG,GRAPHICS
464,1471-2105-11-345-6-1,GFIG,GRAPHICS
465,1471-2105-11-345-6-2,GFIG,GRAPHICS
466,1471-2105-11-345-7-1,GFIG,GRAPHICS
